sample_id,label,prediction,anomaly_probability,feature,value,train_median,train_std,zscore,global_importance,weighted_score
21595,0,0,0.00015782828282828284,min_temp__q10,54.0,162.0,53.10445650801654,-2.0337276210273716,0.012144160602298873,0.02469791485108762
21595,0,0,0.00015782828282828284,max_temp__mean,66.0,179.109375,55.85654993645012,-2.0249975182621975,0.011391063180547834,0.023066874670977257
21595,0,0,0.00015782828282828284,max_temp__max,66.0,180.0,56.357989001271086,-2.0227833182164976,0.00953762719537532,0.0192925531861732
21595,0,0,0.00015782828282828284,max_temp__median,66.0,180.0,55.901768185064206,-2.039291487571558,0.00794247993002998,0.016197031711518085
21595,0,0,0.00015782828282828284,min_temp__mean,54.0,162.0,53.34413250965346,-2.024590051782278,0.00794247993002998,0.0160802658528191
21595,0,0,0.00015782828282828284,min_temp__max,54.0,162.0,53.800964203772565,-2.0073989676271817,0.007917617914217745,0.015893818027067182
21595,0,0,0.00015782828282828284,min_temp__min,54.0,162.0,53.08168334536278,-2.0346001331066472,0.0058292085859894165,0.011860108564960477
21595,0,0,0.00015782828282828284,max_temp__min,66.0,174.0,55.587684319951535,-1.9428764000740473,0.0058292085859894165,0.011325431792827845
21595,0,0,0.00015782828282828284,min_temp__energy,2916.0,26244.0,15895.97592481673,-1.4675412261779048,0.0058292085859894165,0.008554603915929678
18054,0,0,0.00015782828282828284,min_temp__median,132.0,162.0,53.39487930461746,-0.5618516305440112,0.014232569930527203,0.007996592622298373
18054,0,0,0.00015782828282828284,max_temp__mean,144.0,179.109375,55.85654993645012,-0.6285632578443373,0.011391063180547834,0.0071600037830758245
18054,0,0,0.00015782828282828284,min_temp__q10,132.0,162.0,53.10445650801654,-0.5649243391742699,0.012144160602298873,0.006860531903079894
18054,0,0,0.00015782828282828284,max_temp__max,144.0,180.0,56.357989001271086,-0.6387736794367886,0.00953762719537532,0.006092385216686272
18054,0,0,0.00015782828282828284,max_temp__median,144.0,180.0,55.901768185064206,-0.6439867855489132,0.00794247993002998,0.005114852119426764
18054,0,0,0.00015782828282828284,min_temp__mean,132.0,162.0,53.34413250965346,-0.5623861254950772,0.00794247993002998,0.004466740514671972
18054,0,0,0.00015782828282828284,min_temp__max,132.0,162.0,53.800964203772565,-0.5576108243408838,0.007917617914217745,0.004414949451963106
18054,0,0,0.00015782828282828284,min_single_volt__median,1.787,1.754,0.0687411417087493,0.48006185494879133,0.007232682022936883,0.0034721347481858566
18054,0,0,0.00015782828282828284,min_temp__min,132.0,162.0,53.08168334536278,-0.5651667036407353,0.0058292085859894165,0.00329447460137791
18054,0,0,0.00015782828282828284,min_temp__energy,17424.0,26244.0,15895.97592481673,-0.5548574080456585,0.0058292085859894165,0.003234379566979586
5502,0,0,0.00015782828282828284,min_temp__median,96.0,162.0,53.39487930461746,-1.2360735871968247,0.014232569930527203,0.01759250376905642
5502,0,0,0.00015782828282828284,min_temp__q10,96.0,162.0,53.10445650801654,-1.2428335461833937,0.012144160602298873,0.015093170186775766
5502,0,0,0.00015782828282828284,max_temp__mean,108.0,179.109375,55.85654993645012,-1.2730713780371958,0.011391063180547834,0.014501636500568793
5502,0,0,0.00015782828282828284,max_temp__max,108.0,180.0,56.357989001271086,-1.2775473588735773,0.00953762719537532,0.012184770433372544
5502,0,0,0.00015782828282828284,max_temp__median,108.0,180.0,55.901768185064206,-1.2879735710978264,0.00794247993002998,0.010229704238853528
5502,0,0,0.00015782828282828284,min_temp__mean,96.0,162.0,53.34413250965346,-1.23724947608917,0.00794247993002998,0.00982682913227834
5502,0,0,0.00015782828282828284,min_temp__max,96.0,162.0,53.800964203772565,-1.2267438135499442,0.007917617914217745,0.009712888794318832
5502,0,0,0.00015782828282828284,min_temp__min,96.0,162.0,53.08168334536278,-1.2433667480096178,0.0058292085859894165,0.0072478441230314035
5502,0,0,0.00015782828282828284,max_temp__min,108.0,174.0,55.587684319951535,-1.1873133556008066,0.0058292085859894165,0.006921097206728127
5502,0,0,0.00015782828282828284,min_temp__energy,9216.0,26244.0,15895.97592481673,-1.0712145061452918,0.0058292085859894165,0.006244332796658547
